TRACTCE,make_sqm,make_dec,serv_sqm,serv_dec,prof_sqm,prof_dec,supp_sqm,supp_dec,make_c,serv_c,prof_c,supp_c,make_15,serv_15,prof_15,supp_15,make_02,serv_02,prof_02,supp_02
150601,0.000028100793085,3,0.000103571494512,3,0.000008028798024,0,0.000067441903403,0,0.030347154518767,-0.439647249559513,-0.344926187711604,0.680463097406673,0.632576110414074,1.891889424388838,0.162867031225086,1.149344990006949,0.602228955895307,2.331536673948351,0.50779321893669,0.468881892600276
150202,0.000016435794544,8,0.000052321130459,9,0.000023830348612,8,0.000016529003209,7,-2.368257669223789,1.350603304618962,0.836465586424615,0.341270546759817,0.702369449247752,1.814317648445788,0.917685231805446,0.534746501614851,3.070627118471541,0.463714343826826,0.081219645380831,0.193475954855034
150100,0.000018503717173,9,0.000002647041779,6,0.000002071597914,8,0.000001067768061,2,2.36695845819337,-0.5342070759674,0.035633319688898,-1.316134802414621,3.552169503199258,0.412341259119231,0.35836748813286,0.155180806476139,1.185211045005888,0.946548335086631,0.322734168443962,1.47131560889076
150304,0.00005930087648,7,0.000031756753525,2,0.000012313843204,3,0.000063189458545,3,0.450775029464194,-0.689849210665784,-0.423570852093095,0.753521216576268,1.660169453979438,0.721420870000413,0.310651434655786,1.339252048528109,1.209394424515244,1.411270080666197,0.734222286748881,0.585730831951841
152801,0.000224878673851,9,0.000243138053351,8,0.000049780834639,7,0.000232374629646,8,0.081000096895618,0.354095425737438,-0.643208023341715,0.225515278789977,1.397821636759946,1.226359273303552,0.278839373828406,1.093499469190207,1.316821539864328,0.872263847566114,0.922047397170121,0.86798419040023
153006,0.000133240883275,8,0.000129719097814,6,0.000140284454197,8,0.000139990972075,6,0.347999446195413,-1.477304423710052,0.726846588521244,0.563052557186383,1.143704637879468,0.90352795848716,1.085111494262693,0.909709619897836,0.795705191684055,2.380832382197212,0.358264905741449,0.346657062711453
151402,0.000114403032608,8,0.000348991609879,9,0.000032994333488,7,0.000093654018766,8,-1.158627911457625,1.688705670510361,0.054533623851216,-0.524490229939587,0.904103866340247,2.237984492032608,0.234967927946137,0.560316725527984,2.062731777797872,0.549278821522247,0.180434304094921,1.084806955467571
151100,0.00000479475816,8,9.98564092e-7,3,6.10692089e-7,4,0.000003317543512,6,0.582359984406764,0.012519816971848,0.159864012767109,-0.497777465417661,2.299827644890829,0.388656401275126,0.263960726668025,1.204679693018441,1.717467660484065,0.376136584303278,0.104096713900916,1.702457158436102
153502,0.000002832533406,7,0.000001696644375,3,5.89512029e-7,3,0.000003407667093,4,1.140686618708576,-0.103580443097691,-0.008147141523949,-1.002089495973015,1.549087612040748,0.752927325726418,0.290524022984647,1.410861815605977,0.408400993332172,0.856507768824109,0.298671164508596,2.412951311578992
152202,0.000028497197895,5,0.000211745002082,7,0.000027054301799,4,0.000170983187372,6,0.162072233365796,0.914414523740169,-0.101523402517192,-1.203511527215985,0.303190271192467,1.828047888257199,0.259380827506618,1.3771869245339,0.141118037826671,0.91363336451703,0.36090423002381,2.580698451749885
